gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Dst,Q91ZU6,DYST_MOUSE,reviewed,Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2),Dst Bpag1 Macf2,Mus musculus (Mouse),7393
Plekhb2,Q9QZC7,PKHB2_MOUSE,reviewed,Pleckstrin homology domain-containing family B member 2 (PH domain-containing family B member 2) (Evectin-2),Plekhb2 Evt2,Mus musculus (Mouse),221
Hs6st1,Q9QYK5,H6ST1_MOUSE,reviewed,Heparan-sulfate 6-O-sulfotransferase 1 (HS6ST-1) (mHS6ST-1) (EC 2.8.2.-),Hs6st1,Mus musculus (Mouse),411
Cnnm4,Q69ZF7,CNNM4_MOUSE,reviewed,Metal transporter CNNM4 (Ancient conserved domain-containing protein 4) (mACDP4) (Cyclin-M4),Cnnm4 Acdp4 Kiaa1592,Mus musculus (Mouse),771
Cox5b,P19536,COX5B_MOUSE,reviewed,"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)",Cox5b,Mus musculus (Mouse),128
Tpp2,Q64514,TPP2_MOUSE,reviewed,Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II),Tpp2,Mus musculus (Mouse),1262
Cflar,O35732,CFLAR_MOUSE,reviewed,CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin) [Cleaved into: CASP8 and FADD-like apoptosis regulator subunit p43; CASP8 and FADD-like apoptosis regulator subunit p12],Cflar Cash,Mus musculus (Mouse),481
Casp8,O89110,CASP8_MOUSE,reviewed,Caspase-8 (CASP-8) (EC 3.4.22.61) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10],Casp8,Mus musculus (Mouse),480
Stradb,Q8K4T3,STRAB_MOUSE,reviewed,STE20-related kinase adapter protein beta (STRAD beta) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein homolog) (ILP-interacting protein homolog) (Polyploidy-associated protein kinase) (Pseudokinase ALS2CR2),Stradb Als2cr2 Papk Syradb,Mus musculus (Mouse),418
Nop58,Q6DFW4,NOP58_MOUSE,reviewed,Nucleolar protein 58 (MSSP) (Nucleolar protein 5) (SIK-similar protein),Nop58 Nol5,Mus musculus (Mouse),536
Eef1b2,O70251,EF1B_MOUSE,reviewed,Elongation factor 1-beta (EF-1-beta),Eef1b Eef1b2,Mus musculus (Mouse),225
Fastkd2,Q922E6,FAKD2_MOUSE,reviewed,"FAST kinase domain-containing protein 2, mitochondrial",Fastkd2,Mus musculus (Mouse),689
Arpc2,Q9CVB6,ARPC2_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),Arpc2,Mus musculus (Mouse),300
Vil1,Q62468,VILI_MOUSE,reviewed,Villin-1,Vil1 Vil,Mus musculus (Mouse),827
Sgpp2,Q810K3,SGPP2_MOUSE,reviewed,Sphingosine-1-phosphate phosphatase 2 (SPPase2) (Spp2) (EC 3.1.3.-) (Sphingosine-1-phosphatase 2),Sgpp2,Mus musculus (Mouse),354
Utp14b,Q6EJB6,UT14B_MOUSE,reviewed,U3 small nucleolar RNA-associated protein 14 homolog B (Juvenile spermatogonial depletion protein),Utp14b Jsd,Mus musculus (Mouse),756
Acsl3,Q9CZW4,ACSL3_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3),Acsl3 Acs3 Facl3,Mus musculus (Mouse),720
Sp100,O35892,SP100_MOUSE,reviewed,Nuclear autoantigen Sp-100 (Nuclear dot-associated Sp100 protein) (Speckled 100 kDa),Sp100,Mus musculus (Mouse),482
