"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032993","GO:0032993","protein-DNA complex","12/268","27/2408",1.06273558090192e-05,0.00185843714414374,0.00160359238001662,"Parp1/Med1/Jup/H1f3/H4c4/H1f2/Ep300/Tcf7l2/Hp1bp3/Kdm5a/Pold3/Jund",12
"GO:0005902","GO:0005902","microvillus","14/268","36/2408",1.26424295519982e-05,0.00185843714414374,0.00160359238001662,"Vil1/Myo1a/Iqgap2/Adcy6/Ezr/Myo7b/Slc26a2/Car2/Prom1/Ceacam20/Anks4b/Ptprh/Cdhr5/Nedd4",14
"GO:0032432","GO:0032432","actin filament bundle","11/268","28/2408",0.000100429795293034,0.00984211993871732,0.00849248444407761,"Dst/Vil1/Mlph/Myh9/Lima1/Mylk/Cfl1/Actb/Actn4/Myh14/Anxa2",11
"GO:0005903","GO:0005903","brush border","16/268","54/2408",0.000147843066114761,0.0108664653594349,0.00937636287727825,"Vil1/Myo1a/Slc26a3/Slc9a3/Plec/Myh9/Slc38a2/Lima1/Ezr/Myo7b/Atp8b1/Prom1/Anks4b/Ceacam1/Myh14/Cdhr5",16
"GO:0030863","GO:0030863","cortical cytoskeleton","13/268","41/2408",0.000298252823411342,0.0138852589288863,0.0119811937051972,"Mlph/Misp/Myo1a/Myh2/Sptbn1/Krt19/Myh9/Cfl1/Gsn/Dstn/Actb/Akap13/Actn4",13
"GO:0042383","GO:0042383","sarcolemma","12/268","36/2408",0.000302625867282037,0.0138852589288863,0.0119811937051972,"Dst/Bsg/Krt19/Plec/Slc38a2/Adcy6/Krt8/Ezr/Adrb2/Ahnak/Atp1a1/Anxa2",12
"GO:0042641","GO:0042641","actomyosin","10/268","27/2408",0.000370866689102853,0.0138852589288863,0.0119811937051972,"Dst/Mlph/Myh9/Lima1/Mylk/Actb/Actn4/Myh14/Anxa2/Pdcd6ip",10
"GO:0001772","GO:0001772","immunological synapse","6/268","11/2408",0.000512176961443438,0.0138852589288863,0.0119811937051972,"Prkar1a/Lgals3/Myh9/Ezr/Snx27/Pdcd6ip",6
"GO:0015629","GO:0015629","actin cytoskeleton","26/268","121/2408",0.000525797546755152,0.0138852589288863,0.0119811937051972,"Dst/Vil1/Mlph/Misp/Myo1a/Gas2l3/Myh2/Sptbn1/Krt19/Jup/Myh9/Lima1/Mylk/Ezr/Myo7b/Cfl1/Ahnak/Gsn/Dstn/Actb/Akap13/Actn4/Myh14/Aldoa/Anxa2/Pdcd6ip",26
"GO:0005882","GO:0005882","intermediate filament","8/268","19/2408",0.000535091085474725,0.0138852589288863,0.0119811937051972,"Dst/Krt20/Krt19/Jup/Dsp/Krt18/Plec/Krt8",8
